Log start on, 2023-11-22 11:03:00
Feature, Acceleration
NodeName, HostTimestamp (ms), notificationTime, timeStamp, RawData, X (mg), Y (mg), Z (mg)
AM1V430 @A856F0, 7294, Wed Nov 22 11:03:08 GMT+01:00 2023, 3569, [-15 13 -4 -1 23 0 53 -4 -14 -1 10 0 9 0 1 0 6 -1 -22 0], -4.0, 23.0, -971.0
AM1V430 @A856F0, 7391, Wed Nov 22 11:03:08 GMT+01:00 2023, 3576, [-8 13 -4 -1 24 0 52 -4 -13 -1 10 0 9 0 -4 -1 13 -1 -19 0], -4.0, 24.0, -972.0
AM1V430 @A856F0, 7393, Wed Nov 22 11:03:08 GMT+01:00 2023, 3582, [-2 13 -3 -1 23 0 52 -4 -13 -1 11 0 10 0 -4 -1 18 -1 -24 0], -3.0, 23.0, -972.0
AM1V430 @A856F0, 7438, Wed Nov 22 11:03:08 GMT+01:00 2023, 3588, [4 14 -4 -1 22 0 53 -4 -13 -1 11 0 9 0 3 0 19 -1 -25 0], -4.0, 22.0, -971.0
AM1V430 @A856F0, 7496, Wed Nov 22 11:03:08 GMT+01:00 2023, 3594, [10 14 -4 -1 23 0 53 -4 -14 -1 11 0 9 0 4 0 28 -1 -30 0], -4.0, 23.0, -971.0
AM1V430 @A856F0, 7538, Wed Nov 22 11:03:08 GMT+01:00 2023, 3601, [17 14 -4 -1 23 0 52 -4 -14 -1 10 0 9 0 10 0 24 -1 -36 0], -4.0, 23.0, -972.0
AM1V430 @A856F0, 7584, Wed Nov 22 11:03:08 GMT+01:00 2023, 3607, [23 14 -4 -1 23 0 52 -4 -13 -1 11 0 9 0 12 0 22 -1 -43 0], -4.0, 23.0, -972.0
AM1V430 @A856F0, 7644, Wed Nov 22 11:03:08 GMT+01:00 2023, 3613, [29 14 -4 -1 22 0 52 -4 -13 -1 11 0 9 0 22 0 12 -1 -45 0], -4.0, 22.0, -972.0
AM1V430 @A856F0, 7692, Wed Nov 22 11:03:08 GMT+01:00 2023, 3619, [35 14 -4 -1 23 0 52 -4 -14 -1 10 0 9 0 10 0 13 -1 -46 0], -4.0, 23.0, -972.0
AM1V430 @A856F0, 7747, Wed Nov 22 11:03:08 GMT+01:00 2023, 3626, [42 14 -4 -1 23 0 52 -4 -14 -1 11 0 10 0 4 0 4 -1 -28 0], -4.0, 23.0, -972.0
AM1V430 @A856F0, 7794, Wed Nov 22 11:03:08 GMT+01:00 2023, 3632, [48 14 -3 -1 22 0 52 -4 -13 -1 10 0 9 0 4 0 6 -1 -31 0], -3.0, 22.0, -972.0
AM1V430 @A856F0, 7843, Wed Nov 22 11:03:08 GMT+01:00 2023, 3638, [54 14 -4 -1 22 0 52 -4 -13 -1 10 0 9 0 1 0 -2 -2 -27 0], -4.0, 22.0, -972.0
AM1V430 @A856F0, 7890, Wed Nov 22 11:03:08 GMT+01:00 2023, 3644, [60 14 -4 -1 23 0 53 -4 -13 -1 10 0 9 0 6 0 9 -1 -42 0], -4.0, 23.0, -971.0
AM1V430 @A856F0, 7944, Wed Nov 22 11:03:08 GMT+01:00 2023, 3651, [67 14 -4 -1 24 0 52 -4 -14 -1 10 0 9 0 9 0 13 -1 -31 0], -4.0, 24.0, -972.0
AM1V430 @A856F0, 7994, Wed Nov 22 11:03:08 GMT+01:00 2023, 3657, [73 14 -4 -1 23 0 52 -4 -13 -1 10 0 9 0 3 0 12 -1 -33 0], -4.0, 23.0, -972.0
AM1V430 @A856F0, 8046, Wed Nov 22 11:03:09 GMT+01:00 2023, 3663, [79 14 -4 -1 23 0 52 -4 -14 -1 10 0 9 0 3 0 1 -1 -25 0], -4.0, 23.0, -972.0
AM1V430 @A856F0, 8096, Wed Nov 22 11:03:09 GMT+01:00 2023, 3669, [85 14 -4 -1 23 0 52 -4 -14 -1 10 0 9 0 -3 -1 -3 -2 -31 0], -4.0, 23.0, -972.0
AM1V430 @A856F0, 8148, Wed Nov 22 11:03:09 GMT+01:00 2023, 3676, [92 14 -4 -1 22 0 52 -4 -13 -1 11 0 9 0 -7 -1 -2 -2 -25 0], -4.0, 22.0, -972.0
AM1V430 @A856F0, 8193, Wed Nov 22 11:03:09 GMT+01:00 2023, 3682, [98 14 -4 -1 23 0 51 -4 -13 -1 11 0 9 0 12 0 15 -1 -37 0], -4.0, 23.0, -973.0
AM1V430 @A856F0, 8251, Wed Nov 22 11:03:09 GMT+01:00 2023, 3688, [104 14 -4 -1 23 0 52 -4 -13 -1 10 0 9 0 3 0 21 -1 -40 0], -4.0, 23.0, -972.0
AM1V430 @A856F0, 8294, Wed Nov 22 11:03:09 GMT+01:00 2023, 3694, [110 14 -4 -1 22 0 51 -4 -13 -1 11 0 9 0 -4 -1 24 -1 -33 0], -4.0, 22.0, -973.0
AM1V430 @A856F0, 8348, Wed Nov 22 11:03:09 GMT+01:00 2023, 3701, [117 14 -5 -1 23 0 52 -4 -14 -1 11 0 10 0 1 0 21 -1 -24 0], -5.0, 23.0, -972.0
AM1V430 @A856F0, 8397, Wed Nov 22 11:03:09 GMT+01:00 2023, 3707, [123 14 -3 -1 22 0 52 -4 -13 -1 10 0 9 0 -3 -1 43 -1 -25 0], -3.0, 22.0, -972.0
AM1V430 @A856F0, 8447, Wed Nov 22 11:03:09 GMT+01:00 2023, 3713, [-127 14 -4 -1 23 0 52 -4 -13 -1 10 0 9 0 -7 -1 36 -1 -4 0], -4.0, 23.0, -972.0
AM1V430 @A856F0, 8499, Wed Nov 22 11:03:09 GMT+01:00 2023, 3719, [-121 14 -5 -1 23 0 51 -4 -13 -1 10 0 10 0 -9 -1 16 -1 11 1], -5.0, 23.0, -973.0
