Log start on, 2023-11-02 16:35:23
Feature, Gyroscope
NodeName, HostTimestamp (ms), notificationTime, timeStamp, RawData, X (dps), Y (dps), Z (dps)
AM1V430 @A856F0, 9123, Thu Nov 02 16:35:32 GMT+01:00 2023, 11111, [103 43 -120 0 0 1 93 -4 -17 -1 9 0 10 0 -43 0 55 0 127 0], -1.7, 0.9, 1.0
AM1V430 @A856F0, 9169, Thu Nov 02 16:35:32 GMT+01:00 2023, 11117, [109 43 -119 0 3 1 89 -4 -11 -1 7 0 5 0 -39 0 61 0 -115 0], -1.1, 0.7, 0.5
AM1V430 @A856F0, 9170, Thu Nov 02 16:35:32 GMT+01:00 2023, 11123, [115 43 -126 0 -4 0 88 -4 -11 -1 12 0 9 0 -42 0 64 0 -126 0], -1.1, 1.2, 0.9
AM1V430 @A856F0, 9202, Thu Nov 02 16:35:32 GMT+01:00 2023, 11130, [122 43 -120 0 -2 0 92 -4 -11 -1 11 0 8 0 -51 0 54 0 126 0], -1.1, 1.1, 0.8
AM1V430 @A856F0, 9260, Thu Nov 02 16:35:32 GMT+01:00 2023, 11136, [-128 43 -120 0 -1 0 92 -4 -10 -1 1 0 4 0 -42 0 63 0 124 0], -1.0, 0.1, 0.4
AM1V430 @A856F0, 9313, Thu Nov 02 16:35:32 GMT+01:00 2023, 11142, [-122 43 -122 0 -3 0 88 -4 -7 -1 7 0 4 0 -34 0 58 0 124 0], -0.7, 0.7, 0.4
AM1V430 @A856F0, 9364, Thu Nov 02 16:35:32 GMT+01:00 2023, 11148, [-116 43 -121 0 -1 0 89 -4 -11 -1 13 0 9 0 -43 0 61 0 127 0], -1.1, 1.3, 0.9
AM1V430 @A856F0, 9422, Thu Nov 02 16:35:32 GMT+01:00 2023, 11155, [-109 43 -122 0 -3 0 91 -4 -11 -1 9 0 6 0 -48 0 67 0 121 0], -1.1, 0.9, 0.6
AM1V430 @A856F0, 9466, Thu Nov 02 16:35:32 GMT+01:00 2023, 11161, [-103 43 -121 0 -1 0 93 -4 -16 -1 7 0 9 0 -42 0 60 0 -127 0], -1.6, 0.7, 0.9
AM1V430 @A856F0, 9501, Thu Nov 02 16:35:32 GMT+01:00 2023, 11167, [-97 43 -120 0 1 1 90 -4 -11 -1 8 0 7 0 -39 0 58 0 124 0], -1.1, 0.8, 0.7
